date,node,country,transport,version,lower,upper,clients,frac
2017-10-01,relay,a1,,,0,15,4,83
2017-10-01,relay,a2,,,,,0,83
2017-10-01,relay,ad,,,59,174,115,83
2017-10-01,relay,ae,,,273430,392440,336718,83
2017-10-01,relay,af,,,203,440,274,83
2017-10-01,relay,ag,,,23,96,50,83
2017-10-01,relay,ai,,,0,12,5,83
2017-10-01,relay,al,,,510,955,701,83
2017-10-01,relay,am,,,530,988,716,83
2017-10-01,relay,an,,,,,0,83
2017-10-01,relay,ao,,,134,319,196,83
2017-10-01,relay,ap,,,,,1,83
2017-10-01,relay,aq,,,0,23,3,83
2017-10-01,relay,ar,,,8205,12507,10373,83
2017-10-01,relay,as,,,3,38,12,83
2017-10-01,relay,at,,,8687,13217,10869,83
2017-10-01,relay,au,,,18866,28061,22765,83
2017-10-01,relay,aw,,,35,124,65,83
2017-10-01,relay,ax,,,9,59,35,83
2017-10-01,relay,az,,,643,1170,1037,83
2017-10-01,relay,ba,,,641,1167,1280,83
2017-10-01,relay,bb,,,118,289,232,83
2017-10-01,relay,bd,,,2251,3660,2682,83
2017-10-01,relay,be,,,9031,13722,11062,83
2017-10-01,relay,bf,,,46,146,80,83
2017-10-01,relay,bg,,,6057,9343,8149,83
2017-10-01,relay,bh,,,575,1060,749,83
2017-10-01,relay,bi,,,4,45,24,83
2017-10-01,relay,bj,,,144,334,221,83
2017-10-01,relay,bl,,,0,19,4,83
2017-10-01,relay,bm,,,41,138,86,83
2017-10-01,relay,bn,,,184,407,279,83
2017-10-01,relay,bo,,,585,1076,792,83
2017-10-01,relay,bq,,,1,32,7,83
2017-10-01,relay,br,,,25496,37669,31295,83
2017-10-01,relay,bs,,,154,354,232,83
2017-10-01,relay,bt,,,7,53,22,83
2017-10-01,relay,bw,,,74,205,102,83
2017-10-01,relay,by,,,3242,5153,4216,83
2017-10-01,relay,bz,,,70,197,132,83
2017-10-01,relay,ca,,,34510,50690,43624,83
2017-10-01,relay,cd,,,134,319,242,83
2017-10-01,relay,cf,,,0,23,9,83
2017-10-01,relay,cg,,,31,114,56,83
2017-10-01,relay,ch,,,10961,16549,13648,83
2017-10-01,relay,ci,,,294,597,401,83
2017-10-01,relay,ck,,,0,12,6,83
2017-10-01,relay,cl,,,3148,5013,4030,83
2017-10-01,relay,cm,,,382,745,413,83
2017-10-01,relay,cn,,,1112,1912,1002,83
2017-10-01,relay,co,,,3776,5954,4719,83
2017-10-01,relay,cr,,,645,1173,926,83
2017-10-01,relay,cu,,,146,339,248,83
2017-10-01,relay,cv,,,24,99,54,83
2017-10-01,relay,cw,,,67,191,104,83
2017-10-01,relay,cx,,,0,10,4,83
2017-10-01,relay,cy,,,729,1307,941,83
2017-10-01,relay,cz,,,7324,11213,9031,83
2017-10-01,relay,de,,,148920,214711,236503,83
2017-10-01,relay,dj,,,41,138,88,83
2017-10-01,relay,dk,,,4032,6336,5171,83
2017-10-01,relay,dm,,,2,34,17,83
2017-10-01,relay,do,,,758,1355,1010,83
2017-10-01,relay,dz,,,1957,3211,2522,83
2017-10-01,relay,ec,,,1278,2169,1616,83
2017-10-01,relay,ee,,,1399,2355,1626,83
2017-10-01,relay,eg,,,1035,1791,1506,83
2017-10-01,relay,er,,,0,10,3,83
2017-10-01,relay,es,,,24877,36772,31313,83
2017-10-01,relay,et,,,338,671,513,83
2017-10-01,relay,eu,,,9,58,35,83
2017-10-01,relay,fi,,,7821,11944,9985,83
2017-10-01,relay,fj,,,27,107,64,83
2017-10-01,relay,fk,,,,,1,83
2017-10-01,relay,fm,,,0,27,9,83
